epoch, train_acc, val_acc, reconstruction_loss
0, 5.40, 12.50, 24.683673469387728
1, 12.60, 12.00, 18.318877551020393
2, 17.00, 21.00, 17.380102040816336
3, 19.00, 22.00, 17.05153061224489
4, 20.90, 15.00, 16.74846938775508
5, 22.50, 26.00, 16.522448979591854
6, 22.60, 21.50, 16.216836734693878
7, 20.50, 15.50, 16.038775510204058
8, 16.90, 18.50, 16.097448979591828
9, 19.20, 16.50, 16.035204081632642
10, 16.40, 13.00, 15.931632653061214
11, 17.10, 16.50, 15.874489795918384
12, 15.30, 19.00, 15.856632653061208
13, 18.20, 13.50, 16.110204081632638
14, 16.30, 16.50, 15.906632653061234
15, 15.00, 12.00, 16.16122448979591
16, 16.00, 13.50, 16.053061224489753
17, 14.60, 12.00, 15.981632653061242
18, 16.10, 15.50, 16.056122448979597
19, 15.00, 14.00, 15.972959183673504
20, 14.80, 16.00, 16.011734693877536
21, 14.50, 17.50, 16.02806122448982
22, 15.60, 13.50, 16.021428571428586
23, 14.90, 16.50, 15.963265306122482
24, 14.30, 15.00, 16.190816326530623
25, 13.30, 11.50, 15.94132653061226
26, 14.10, 16.00, 16.06632653061226
27, 11.80, 13.00, 16.191326530612233
28, 10.70, 12.50, 16.12040816326533
29, 14.60, 13.00, 16.11785714285717
30, 11.90, 8.50, 16.322959183673476
31, 12.20, 12.00, 16.15204081632653
32, 12.40, 14.00, 16.210714285714285
33, 12.80, 13.50, 16.114795918367335
34, 14.70, 16.00, 16.213265306122448
35, 12.00, 11.00, 16.201020408163263
36, 13.20, 15.00, 16.136224489795914
37, 12.40, 14.00, 16.192346938775504
38, 11.90, 13.50, 16.268877551020406
39, 11.70, 14.50, 16.14132653061225
40, 12.60, 15.00, 16.0484693877551
41, 11.20, 13.50, 16.119897959183678
42, 12.60, 15.50, 16.208673469387776
43, 12.60, 12.50, 16.136734693877557
44, 12.00, 14.00, 16.038775510204097
45, 13.30, 14.00, 16.1795918367347
46, 12.10, 11.00, 16.11734693877553
47, 13.50, 13.00, 16.16887755102044
48, 13.20, 13.00, 16.097959183673467
49, 10.70, 14.00, 16.167346938775523
